Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,"960,673","1,043,759","889,212","796,587","678,606","671,327","662,483","679,996","462,388","530,250"
Afghanistan,28,74,76,92,111,98,70,66,71,84
Albania,259,362,331,321,258,277,423,408,91,152
Algeria,49,59,53,62,36,42,27,42,26,38
Angola,13,30,24,22,28,22,16,13,11,6
Antigua and Barbuda,23,69,59,57,47,56,40,31,21,16
Argentina,227,440,507,431,421,324,235,212,123,82
Armenia,60,235,181,239,232,217,141,161,88,87
Australia,27,52,65,76,75,55,69,50,30,21
Austria,7,12,12,22,23,12,14,5,9,4
Azerbaijan,15,30,40,30,37,29,36,38,23,22
Bahamas,62,269,288,279,311,275,288,196,185,151
Bangladesh,182,278,223,325,272,262,366,476,467,796
Barbados,28,90,105,82,77,80,45,47,28,20
Belarus,17,52,72,66,58,51,42,20,15,18
Belgium,8,16,26,24,35,17,25,13,11,15
Belize,113,348,345,338,361,316,293,258,140,150
Benin,10,17,11,12,18,11,9,10,19,8
Bermuda,3,14,20,18,23,21,18,8,4,D
Bhutan,D,4,D,6,6,5,5,7,22,14
Bolivia,189,328,351,307,387,290,226,194,116,107
Bosnia and Herzegovina,60,108,175,202,201,198,179,131,115,103
Brazil,"2,902","3,888","3,392","3,532","3,228","2,433","1,702","1,643","1,911","3,738"
Bulgaria,71,121,102,103,95,110,52,49,36,28
Burkina Faso,12,31,24,29,20,29,19,17,6,15
Burma,18,53,36,54,35,54,48,48,47,56
Burundi,3,12,13,17,17,27,21,22,9,20
Cabo Verde,48,127,116,118,105,110,66,35,32,34
Cambodia,79,344,330,384,347,268,204,147,130,203
Cameroon,79,153,149,152,164,130,102,70,47,54
Canada,767,"1,378","1,304","1,486","1,131","1,172",822,775,648,509
Cayman Islands,-,6,9,10,6,6,5,4,3,3
Central African Republic,6,9,12,12,10,9,14,8,D,6
Chad,6,14,9,5,8,7,12,13,8,5
Chile,135,255,284,285,248,193,128,116,82,87
"China, People's Republic","1,623","2,282","2,920","2,709","2,546","2,350","1,918","2,601","1,875","3,197"
Colombia,"1,893","3,618","3,467","3,006","2,755","2,201","1,987","1,522","1,351","1,209"
"Congo, Democratic Republic",57,26,35,24,26,28,28,31,17,39
"Congo, Republic",21,59,77,72,63,75,39,26,13,29
Costa Rica,377,629,583,548,503,518,409,378,213,214
Cote d'Ivoire,72,118,116,119,102,112,80,45,34,17
Croatia,13,23,25,34,31,31,29,13,16,5
Cuba,"4,932","6,676","4,742","4,030","4,801","4,121","2,809","2,872","2,281","3,061"
Czechia,42,96,66,107,71,68,56,35,23,26
Czechoslovakia (former),42,29,24,19,21,20,15,12,7,6
Denmark,12,17,21,14,9,8,7,9,4,4
Dominica,34,72,57,64,65,41,41,24,15,18
Dominican Republic,"2,117","5,470","5,105","5,274","4,433","4,506","3,893","3,455","2,797","2,770"
Ecuador,"1,770","3,677","3,483","3,890","3,298","4,374","5,680","6,276","3,438","3,472"
Egypt,269,321,313,275,237,190,192,181,147,117
El Salvador,"19,697","27,150","27,744","29,911","27,652","38,976","51,226","79,321","51,200","78,983"
Equatorial Guinea,7,4,7,14,4,7,-,3,D,D
Eritrea,99,217,212,231,63,37,40,52,45,33
Estonia,13,34,32,22,35,30,18,16,12,12
Ethiopia,144,218,262,274,219,220,144,152,93,70
Fiji,45,128,101,99,87,79,67,35,22,22
France,69,124,136,151,145,131,106,107,40,52
Gabon,10,7,17,28,13,13,10,15,D,3
Gambia,87,126,131,130,148,119,100,69,33,41
Georgia,59,105,157,121,101,58,65,52,29,50
Germany,84,201,227,227,198,186,153,103,79,87
Ghana,239,414,422,414,435,340,272,212,138,174
Greece,16,61,58,53,48,34,29,35,13,28
Grenada,15,56,63,76,61,35,44,33,24,13
Guatemala,"23,908","33,691","35,000","39,050","41,708","57,486","73,208","97,151","66,982","84,649"
Guinea,86,163,185,154,147,142,112,69,34,49
Guinea-Bissau,D,7,13,5,6,D,D,D,D,D
Guyana,156,508,492,428,411,360,292,248,196,142
Haiti,"1,004","2,299","2,220","1,768","1,351","1,492","1,992","1,810","1,124","1,113"
Honduras,"28,258","33,766","32,897","32,501","31,189","50,771","64,157","106,928","42,433","61,222"
Hong Kong,21,60,58,53,56,85,74,25,18,21
Hungary,44,80,95,69,106,111,88,76,54,42
Iceland,3,8,6,10,7,3,D,5,D,4
India,795,"1,218","1,155","2,175","3,859","1,566","1,791","2,106","2,967","4,123"
Indonesia,536,631,371,486,327,219,126,102,52,39
Iran,128,239,291,297,305,301,257,223,154,111
Iraq,138,221,291,280,285,244,169,173,152,156
Ireland,27,94,94,72,88,89,70,47,29,37
Israel,226,298,345,311,254,192,213,303,235,92
Italy,60,202,205,174,149,153,138,116,86,81
Jamaica,803,"3,068","3,075","3,064","2,862","2,655","2,147","1,677","1,176","1,012"
Japan,19,68,68,72,63,59,47,43,18,11
Jordan,318,437,359,368,305,281,198,282,293,167
Kazakhstan,35,78,101,118,117,108,71,75,45,25
Kenya,159,326,537,716,539,494,341,423,415,189
"Korea, South",307,545,580,594,714,627,470,349,255,188
Kosovo,X,D,26,24,36,26,30,17,20,38
Kuwait,57,28,29,27,23,22,26,22,34,18
Kyrgyzstan,D,20,59,56,44,40,89,52,40,18
Laos,117,712,657,703,758,754,561,335,184,194
Latvia,16,29,30,44,38,35,36,41,39,10
Lebanon,195,236,216,220,171,128,103,117,94,58
Liberia,99,271,338,309,309,314,231,176,143,152
Libya,8,21,14,16,24,23,16,36,22,16
Lithuania,55,100,94,81,77,84,65,48,27,24
Macau,21,D,D,5,D,-,-,5,D,-
Macedonia,40,93,62,57,51,43,30,22,19,22
Malawi,7,16,10,14,21,14,10,13,7,6
Malaysia,58,91,60,73,53,49,31,30,14,9
Mali,80,127,140,163,112,100,83,89,40,32
Marshall Islands,3,15,20,19,21,28,35,66,34,26
Mauritania,62,128,141,81,70,55,57,25,14,12
Mexico,"854,190","884,017","731,225","632,034","517,472","468,766","424,978","350,177","267,885","265,747"
"Micronesia, Federated States",18,83,88,110,106,106,113,95,80,-
Moldova,46,82,99,129,144,93,93,57,63,37
Mongolia,54,80,142,124,129,95,66,52,27,27
Montenegro,-,D,4,D,11,18,6,11,9,7
Montserrat,D,10,9,9,9,4,D,4,D,D
Morocco,183,227,232,226,173,149,135,135,95,61
Nepal,44,102,148,230,180,248,448,555,443,580
Netherlands,25,59,92,76,72,64,57,45,44,16
Netherlands Antilles (former),D,15,4,9,11,D,5,3,3,4
New Zealand,19,45,38,55,63,35,30,34,23,12
Nicaragua,"2,117","2,800","2,737","2,587","2,278","2,532","2,712","2,912","1,577","1,756"
Niger,115,87,54,68,48,50,39,34,24,11
Nigeria,351,680,624,599,633,543,492,396,274,253
Norway,7,13,8,12,7,8,D,4,-,5
Pakistan,654,654,578,612,538,470,334,350,287,522
Palau,3,20,19,20,20,26,21,23,10,20
Panama,112,326,268,283,226,197,184,100,92,95
Paraguay,21,26,47,32,35,33,30,16,8,14
Peru,943,"1,807","2,079","1,729","1,741","1,588","1,682","1,568",827,799
Philippines,500,"1,340","1,080","1,079","1,135",927,721,592,334,263
Poland,309,602,571,635,519,494,328,266,205,136
Portugal,70,234,220,205,194,215,131,91,57,58
Romania,196,287,255,630,869,"1,220",865,"1,038",537,"2,167"
Russia,194,470,565,564,526,414,320,262,159,128
Rwanda,8,19,23,12,19,13,21,12,14,14
Saint Kitts and Nevis,10,41,45,30,46,49,32,20,21,7
Saint Lucia,37,79,71,82,58,57,45,44,30,21
Saint Vincent and the Grenadines,10,69,63,57,50,41,43,31,15,17
Samoa,25,33,57,26,36,32,37,20,11,25
Saudi Arabia,67,87,70,148,127,198,264,226,276,189
Senegal,92,158,157,170,158,164,132,98,41,62
Serbia,D,4,6,D,22,13,35,40,20,19
Serbia and Montenegro (former),222,302,219,174,142,86,64,58,29,21
Sierra Leone,98,158,192,147,171,162,145,96,65,44
Singapore,14,21,21,21,12,7,16,9,3,7
Slovakia,23,45,40,51,29,44,23,28,15,8
Slovenia,D,4,11,9,5,7,-,D,4,D
Somalia,98,201,237,277,336,316,214,169,131,164
South Africa,83,124,149,144,123,95,79,63,43,34
South Sudan,X,X,X,X,D,3,42,21,14,19
Soviet Union (former),43,110,62,91,92,115,89,64,19,23
Spain,28,91,92,99,126,139,98,129,84,62
Sri Lanka,47,107,135,284,316,223,134,95,128,57
Sudan,38,164,202,252,226,253,168,132,81,86
Suriname,10,28,28,18,19,20,15,8,8,6
Sweden,19,30,44,37,42,33,27,24,14,17
Switzerland,12,22,19,22,19,14,11,12,3,6
Syria,101,101,91,99,114,57,72,61,57,44
Taiwan,34,66,69,60,75,46,55,35,38,34
Tajikistan,15,43,90,80,82,51,33,35,36,16
Tanzania,45,64,81,82,64,73,72,129,42,26
Thailand,117,382,304,300,257,276,246,197,84,64
Togo,43,53,44,40,43,46,20,23,10,8
Tonga,27,99,76,100,82,86,49,44,26,27
Trinidad and Tobago,210,691,729,624,596,498,419,303,195,190
Tunisia,60,53,47,61,43,33,24,46,31,19
Turkey,221,310,317,326,224,265,216,243,194,183
Turkmenistan,9,11,20,29,8,10,4,9,11,5
Turks and Caicos Islands,3,17,11,19,11,19,13,5,7,4
Uganda,49,59,65,54,66,44,49,28,14,14
Ukraine,177,403,374,392,393,394,290,183,154,111
United Arab Emirates,8,4,7,15,3,10,11,9,8,3
United Kingdom,169,510,486,533,518,448,388,268,213,195
Uruguay,109,200,221,190,239,144,116,91,44,29
Uzbekistan,96,157,198,210,135,129,116,109,73,45
Venezuela,314,750,862,741,575,547,366,280,180,190
Vietnam,212,"1,343","1,374","1,313","1,413","1,313",875,634,433,449
"Virgin Islands, British",-,8,8,10,12,12,8,4,D,D
Yemen,106,90,82,130,86,69,68,67,71,35
Zambia,25,45,63,49,49,50,31,27,19,17
Zimbabwe,44,72,80,74,88,63,48,36,22,24
All other countries 3,34,79,81,90,64,69,57,41,40,32
Unknown,65,"1,051",617,962,793,924,722,523,261,339